Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Application of a machine learning method to whole brain white matter injury after radiotherapy for nasopharyngeal carcinoma.","/pubmed/30909974","Leng X, Fang P, Lin H, Qin C, Tan X, Liang Y, Zhang C, Wang H, An J, Wu D, Liu Q, Qiu S.","Cancer Imaging. 2019 Mar 25;19(1):19. doi: 10.1186/s40644-019-0203-y.","Cancer Imaging.  2019","PubMed","citation","PMID:30909974 | PMCID:PMC6434635","pubmed","30909974","create date:2019/03/27 | first author:Leng X",
"Probabilistic independent component analysis of dynamic susceptibility contrast perfusion MRI in metastatic brain tumors.","/pubmed/30885275","Chakhoyan A, Raymond C, Chen J, Goldman J, Yao J, Kaprealian TB, Pouratian N, Ellingson BM.","Cancer Imaging. 2019 Mar 18;19(1):14. doi: 10.1186/s40644-019-0201-0.","Cancer Imaging.  2019","PubMed","citation","PMID:30885275 | PMCID:PMC6423873","pubmed","30885275","create date:2019/03/20 | first author:Chakhoyan A",
"Rare histotype of sporadic Creutzfeldt-Jakob disease, clinically suspected as corticobasal degeneration.","/pubmed/30850568","Tilley BS, Smith C, Pavese N, Attems J.","BMJ Case Rep. 2019 Mar 7;12(3). pii: e228305. doi: 10.1136/bcr-2018-228305.","BMJ Case Rep.  2019","PubMed","citation","PMID:30850568 | PMCID:PMC6424260","pubmed","30850568","create date:2019/03/10 | first author:Tilley BS",
"Metastable brain waves.","/pubmed/30837462","Roberts JA, Gollo LL, Abeysuriya RG, Roberts G, Mitchell PB, Woolrich MW, Breakspear M.","Nat Commun. 2019 Mar 5;10(1):1056. doi: 10.1038/s41467-019-08999-0.","Nat Commun.  2019","PubMed","citation","PMID:30837462 | PMCID:PMC6401142","pubmed","30837462","create date:2019/03/07 | first author:Roberts JA",
"Visual and brainstem auditory evoked potentials in HCV-infected patients before and after interferon-free therapy - A pilot study.","/pubmed/30641198","Waliszewska-Prosół M, Bladowska J, Ejma M, Fleischer-Stępniewska K, Rymer W, Sąsiadek M, Pawłowski T, Małyszczak K, Inglot M, Żelwetro A, Podgórski P, Knysz B.","Int J Infect Dis. 2019 Mar;80:122-128. doi: 10.1016/j.ijid.2019.01.011. Epub 2019 Jan 11.","Int J Infect Dis.  2019","PubMed","citation","PMID:30641198","pubmed","30641198","create date:2019/01/15 | first author:Waliszewska-Prosół M",
"MRI evaluation of the effects of whole brain radiotherapy on breast cancer brain metastasis.","/pubmed/30499763","Crowe W, Wang L, Zhang Z, Varagic J, Bourland JD, Chan MD, Habib AA, Zhao D.","Int J Radiat Biol. 2019 Mar;95(3):338-346. doi: 10.1080/09553002.2019.1554920. Epub 2019 Jan 7.","Int J Radiat Biol.  2019","PubMed","citation","PMID:30499763 | PMCID:PMC6748640","pubmed","30499763","create date:2018/12/01 | first author:Crowe W",
"Quantitative neuroimaging biomarkers in a series of 20 adult patients with POLG mutations.","/pubmed/29474836","Masingue M, Adanyeguh I, Tchikviladzé M, Maisonobe T, Jardel C, Galanaud D, Mochel F.","Mitochondrion. 2019 Mar;45:22-28. doi: 10.1016/j.mito.2018.02.001. Epub 2018 Feb 21.","Mitochondrion.  2019","PubMed","citation","PMID:29474836","pubmed","29474836","create date:2018/02/24 | first author:Masingue M",
"Controlling seizure propagation in large-scale brain networks.","/pubmed/30802239","Olmi S, Petkoski S, Guye M, Bartolomei F, Jirsa V.","PLoS Comput Biol. 2019 Feb 25;15(2):e1006805. doi: 10.1371/journal.pcbi.1006805. eCollection 2019 Feb.","PLoS Comput Biol.  2019","PubMed","citation","PMID:30802239 | PMCID:PMC6405161","pubmed","30802239","create date:2019/02/26 | first author:Olmi S",
"Radiological diagnosis of brain radiation necrosis after cranial irradiation for brain tumor: a systematic review.","/pubmed/30728041","Furuse M, Nonoguchi N, Yamada K, Shiga T, Combes JD, Ikeda N, Kawabata S, Kuroiwa T, Miyatake SI.","Radiat Oncol. 2019 Feb 6;14(1):28. doi: 10.1186/s13014-019-1228-x.","Radiat Oncol.  2019","PubMed","citation","PMID:30728041 | PMCID:PMC6364413","pubmed","30728041","create date:2019/02/08 | first author:Furuse M",
"The Relationship between Diffusion-Weighted Magnetic Resonance Imaging Lesions and 24-Hour Rhythm Holter Findings in Patients with Cryptogenic Stroke.","/pubmed/30720741","Gürdoğan M, Kehaya S, Korkmaz S, Altay S, Özkan U, Kaya Ç.","Medicina (Kaunas). 2019 Feb 4;55(2). pii: E38. doi: 10.3390/medicina55020038.","Medicina (Kaunas).  2019","PubMed","citation","PMID:30720741 | PMCID:PMC6409892","pubmed","30720741","create date:2019/02/06 | first author:Gürdoğan M",
"White Matter Biomarkers Associated with Motor Change in Individuals with Stroke: A Continuous Theta Burst Stimulation Study.","/pubmed/30863437","Wadden KP, Peters S, Borich MR, Neva JL, Hayward KS, Mang CS, Snow NJ, Brown KE, Woodward TS, Meehan SK, Boyd LA.","Neural Plast. 2019 Feb 4;2019:7092496. doi: 10.1155/2019/7092496. eCollection 2019.","Neural Plast.  2019","PubMed","citation","PMID:30863437 | PMCID:PMC6378804","pubmed","30863437","create date:2019/03/14 | first author:Wadden KP",
"Brain connectivity alterations in early psychosis: from clinical to neuroimaging staging.","/pubmed/30718455","Griffa A, Baumann PS, Klauser P, Mullier E, Cleusix M, Jenni R, van den Heuvel MP, Do KQ, Conus P, Hagmann P.","Transl Psychiatry. 2019 Feb 4;9(1):62. doi: 10.1038/s41398-019-0392-y.","Transl Psychiatry.  2019","PubMed","citation","PMID:30718455 | PMCID:PMC6362225","pubmed","30718455","create date:2019/02/06 | first author:Griffa A",
"A diffusion tensor imaging study of brain microstructural changes related to religion and spirituality in families at high risk for depression.","/pubmed/30648349","Li X, Weissman M, Talati A, Svob C, Wickramaratne P, Posner J, Xu D.","Brain Behav. 2019 Feb;9(2):e01209. doi: 10.1002/brb3.1209. Epub 2019 Jan 15.","Brain Behav.  2019","PubMed","citation","PMID:30648349 | PMCID:PMC6379589","pubmed","30648349","create date:2019/01/17 | first author:Li X",
"Preserved white matter microstructure in adolescent patients with atypical anorexia nervosa.","/pubmed/30676658","Olivo G, Swenne I, Zhukovsky C, Tuunainen AK, Saaid A, Salonen-Ros H, Larsson EM, Brooks SJ, Schiöth HB.","Int J Eat Disord. 2019 Feb;52(2):166-174. doi: 10.1002/eat.23012. Epub 2019 Jan 24.","Int J Eat Disord.  2019","PubMed","citation","PMID:30676658 | PMCID:PMC6590352","pubmed","30676658","create date:2019/01/25 | first author:Olivo G",
"Intravascular large B-cell lymphoma presenting with hearing loss and dizziness: A case report.","/pubmed/30762766","Miyake Z, Tomidokoro Y, Tsurubuchi T, Matsumura A, Sakamoto N, Noguchi M, Tamaoka A.","Medicine (Baltimore). 2019 Feb;98(7):e14470. doi: 10.1097/MD.0000000000014470.","Medicine (Baltimore).  2019","PubMed","citation","PMID:30762766 | PMCID:PMC6407998","pubmed","30762766","create date:2019/02/15 | first author:Miyake Z",
"Headache due to spinothalamic tract injury in patients with mild traumatic brain injury: Two case reports.","/pubmed/30732149","Jang SH, Seo YS.","Medicine (Baltimore). 2019 Feb;98(6):e14306. doi: 10.1097/MD.0000000000014306.","Medicine (Baltimore).  2019","PubMed","citation","PMID:30732149 | PMCID:PMC6380840","pubmed","30732149","create date:2019/02/09 | first author:Jang SH",
"Ramsay Hunt syndrome with pontine lesion: A case report.","/pubmed/30702583","Ji Y, Ma GM, Kang ZL, Zhang Y, Han JZ, Li J, Wu DD, Wang J.","Medicine (Baltimore). 2019 Feb;98(5):e14260. doi: 10.1097/MD.0000000000014260.","Medicine (Baltimore).  2019","PubMed","citation","PMID:30702583 | PMCID:PMC6380842","pubmed","30702583","create date:2019/02/01 | first author:Ji Y",
"Age-related changes in brain deactivation but not in activation after motor learning.","/pubmed/30439511","Berghuis KMM, Fagioli S, Maurits NM, Zijdewind I, Marsman JBC, Hortobágyi T, Koch G, Bozzali M.","Neuroimage. 2019 Feb 1;186:358-368. doi: 10.1016/j.neuroimage.2018.11.010. Epub 2018 Nov 12.","Neuroimage.  2019","PubMed","citation","PMID:30439511","pubmed","30439511","create date:2018/11/16 | first author:Berghuis KMM",
"Optimising neonatal fMRI data analysis: Design and validation of an extended dHCP preprocessing pipeline to characterise noxious-evoked brain activity in infants.","/pubmed/30414984","Baxter L, Fitzgibbon S, Moultrie F, Goksan S, Jenkinson M, Smith S, Andersson J, Duff E, Slater R.","Neuroimage. 2019 Feb 1;186:286-300. doi: 10.1016/j.neuroimage.2018.11.006. Epub 2018 Nov 8.","Neuroimage.  2019","PubMed","citation","PMID:30414984 | PMCID:PMC6347570","pubmed","30414984","create date:2018/11/12 | first author:Baxter L",
"Fiber length profiling: A novel approach to structural brain organization.","/pubmed/30399419","Bajada CJ, Schreiber J, Caspers S.","Neuroimage. 2019 Feb 1;186:164-173. doi: 10.1016/j.neuroimage.2018.10.070. Epub 2018 Nov 3.","Neuroimage.  2019","PubMed","citation","PMID:30399419","pubmed","30399419","create date:2018/11/07 | first author:Bajada CJ",
"A framework for multi-component analysis of diffusion MRI data over the neonatal period.","/pubmed/30391562","Pietsch M, Christiaens D, Hutter J, Cordero-Grande L, Price AN, Hughes E, Edwards AD, Hajnal JV, Counsell SJ, Tournier JD.","Neuroimage. 2019 Feb 1;186:321-337. doi: 10.1016/j.neuroimage.2018.10.060. Epub 2018 Nov 2.","Neuroimage.  2019","PubMed","citation","PMID:30391562 | PMCID:PMC6347572","pubmed","30391562","create date:2018/11/06 | first author:Pietsch M",
"Identification of the pedunculopontine nucleus and surrounding white matter tracts on 7T diffusion tensor imaging, combined with histological validation.","/pubmed/30382329","Henssen DJHA, Kuppens D, Meijer FJA, van Cappellen van Walsum AM, Temel Y, Kurt E.","Surg Radiol Anat. 2019 Feb;41(2):187-196. doi: 10.1007/s00276-018-2120-3. Epub 2018 Oct 31.","Surg Radiol Anat.  2019","PubMed","citation","PMID:30382329 | PMCID:PMC6514272","pubmed","30382329","create date:2018/11/02 | first author:Henssen DJHA",
"The Lifespan Human Connectome Project in Aging: An overview.","/pubmed/30332613","Bookheimer SY, Salat DH, Terpstra M, Ances BM, Barch DM, Buckner RL, Burgess GC, Curtiss SW, Diaz-Santos M, Elam JS, Fischl B, Greve DN, Hagy HA, Harms MP, Hatch OM, Hedden T, Hodge C, Japardi KC, Kuhn TP, Ly TK, Smith SM, Somerville LH, et al.","Neuroimage. 2019 Jan 15;185:335-348. doi: 10.1016/j.neuroimage.2018.10.009. Epub 2018 Oct 15.","Neuroimage.  2019","PubMed","citation","PMID:30332613 | PMCID:PMC6649668","pubmed","30332613","create date:2018/10/18 | first author:Bookheimer SY",
"Limits to anatomical accuracy of diffusion tractography using modern approaches.","/pubmed/30317017","Schilling KG, Nath V, Hansen C, Parvathaneni P, Blaber J, Gao Y, Neher P, Aydogan DB, Shi Y, Ocampo-Pineda M, Schiavi S, Daducci A, Girard G, Barakovic M, Rafael-Patino J, Romascano D, Rensonnet G, Pizzolato M, Bates A, Fischi E, Thiran JP, Canales-Rodríguez EJ, et al.","Neuroimage. 2019 Jan 15;185:1-11. doi: 10.1016/j.neuroimage.2018.10.029. Epub 2018 Oct 11.","Neuroimage.  2019","PubMed","citation","PMID:30317017 | PMCID:PMC6551229","pubmed","30317017","create date:2018/10/15 | first author:Schilling KG",
"Depth-dependent intracortical myelin organization in the living human brain determined by in vivo ultra-high field magnetic resonance imaging.","/pubmed/30312809","Sprooten E, O'Halloran R, Dinse J, Lee WH, Moser DA, Doucet GE, Goodman M, Krinsky H, Paulino A, Rasgon A, Leibu E, Balchandani P, Inglese M, Frangou S.","Neuroimage. 2019 Jan 15;185:27-34. doi: 10.1016/j.neuroimage.2018.10.023. Epub 2018 Oct 9.","Neuroimage.  2019","PubMed","citation","PMID:30312809 | PMCID:PMC6289812","pubmed","30312809","create date:2018/10/13 | first author:Sprooten E",
"Measures of possible allostatic load in comorbid cocaine and alcohol use disorder: Brain white matter integrity, telomere length, and anti-saccade performance.","/pubmed/30625144","Tannous J, Mwangi B, Hasan KM, Narayana PA, Steinberg JL, Walss-Bass C, Moeller FG, Schmitz JM, Lane SD.","PLoS One. 2019 Jan 9;14(1):e0199729. doi: 10.1371/journal.pone.0199729. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:30625144 | PMCID:PMC6326479","pubmed","30625144","create date:2019/01/10 | first author:Tannous J",
"Longitudinal multimodal MRI as prognostic and diagnostic biomarker in presymptomatic familial frontotemporal dementia.","/pubmed/30508042","Jiskoot LC, Panman JL, Meeter LH, Dopper EGP, Donker Kaat L, Franzen S, van der Ende EL, van Minkelen R, Rombouts SARB, Papma JM, van Swieten JC.","Brain. 2019 Jan 1;142(1):193-208. doi: 10.1093/brain/awy288.","Brain.  2019","PubMed","citation","PMID:30508042 | PMCID:PMC6308313","pubmed","30508042","create date:2018/12/07 | first author:Jiskoot LC",
"Diffusion tensor imaging and disability progression in multiple sclerosis: A 4-year follow-up study.","/pubmed/30588771","Kolasa M, Hakulinen U, Brander A, Hagman S, Dastidar P, Elovaara I, Sumelahti ML.","Brain Behav. 2019 Jan;9(1):e01194. doi: 10.1002/brb3.1194. Epub 2018 Dec 26.","Brain Behav.  2019","PubMed","citation","PMID:30588771 | PMCID:PMC6346728","pubmed","30588771","create date:2018/12/28 | first author:Kolasa M",
"Individual white matter bundle trajectories are associated with deep brain stimulation response in obsessive-compulsive disorder.","/pubmed/30522916","Liebrand LC, Caan MWA, Schuurman PR, van den Munckhof P, Figee M, Denys D, van Wingen GA.","Brain Stimul. 2019 Mar - Apr;12(2):353-360. doi: 10.1016/j.brs.2018.11.014. Epub 2018 Nov 27.","Brain Stimul.  2019","PubMed","citation","PMID:30522916","pubmed","30522916","create date:2018/12/14 | first author:Liebrand LC",
"Linking structural and effective brain connectivity: structurally informed Parametric Empirical Bayes (si-PEB).","/pubmed/30302538","Sokolov AA, Zeidman P, Erb M, Ryvlin P, Pavlova MA, Friston KJ.","Brain Struct Funct. 2019 Jan;224(1):205-217. doi: 10.1007/s00429-018-1760-8. Epub 2018 Oct 9.","Brain Struct Funct.  2019","PubMed","citation","PMID:30302538 | PMCID:PMC6373362","pubmed","30302538","create date:2018/10/12 | first author:Sokolov AA",
"Heterozygosity for Nuclear Factor One X in mice models features of Malan syndrome.","/pubmed/30503862","Oishi S, Harkins D, Kurniawan ND, Kasherman M, Harris L, Zalucki O, Gronostajski RM, Burne THJ, Piper M.","EBioMedicine. 2019 Jan;39:388-400. doi: 10.1016/j.ebiom.2018.11.044. Epub 2018 Nov 29.","EBioMedicine.  2019","PubMed","citation","PMID:30503862 | PMCID:PMC6354567","pubmed","30503862","create date:2018/12/07 | first author:Oishi S",
"Structural network topology relates to tissue properties in multiple sclerosis.","/pubmed/30467603","Kiljan S, Meijer KA, Steenwijk MD, Pouwels PJW, Schoonheim MM, Schenk GJ, Geurts JJG, Douw L.","J Neurol. 2019 Jan;266(1):212-222. doi: 10.1007/s00415-018-9130-2. Epub 2018 Nov 22.","J Neurol.  2019","PubMed","citation","PMID:30467603 | PMCID:PMC6342882","pubmed","30467603","create date:2018/11/24 | first author:Kiljan S",
"An Isolated Unilateral Pontomedullary Lesion Due to An Intracranial Dural Arteriovenous Fistula Mimicking A Brain Tumor - Case and Review.","/pubmed/30918157","Chen PY, Juan YH, Lin SK.","J Nippon Med Sch. 2019;86(1):48-54. doi: 10.1272/jnms.JNMS.2019_86-9.","J Nippon Med Sch.  2019","PubMed","citation","PMID:30918157","pubmed","30918157","create date:2019/03/29 | first author:Chen PY",
"Early breast milk exposure modifies brain connectivity in preterm infants.","/pubmed/30240903","Blesa M, Sullivan G, Anblagan D, Telford EJ, Quigley AJ, Sparrow SA, Serag A, Semple SI, Bastin ME, Boardman JP.","Neuroimage. 2019 Jan 1;184:431-439. doi: 10.1016/j.neuroimage.2018.09.045. Epub 2018 Sep 18.","Neuroimage.  2019","PubMed","citation","PMID:30240903","pubmed","30240903","create date:2018/09/22 | first author:Blesa M",
"Retrospective harmonization of multi-site diffusion MRI data acquired with different acquisition parameters.","/pubmed/30205206","Cetin Karayumak S, Bouix S, Ning L, James A, Crow T, Shenton M, Kubicki M, Rathi Y.","Neuroimage. 2019 Jan 1;184:180-200. doi: 10.1016/j.neuroimage.2018.08.073. Epub 2018 Sep 8.","Neuroimage.  2019","PubMed","citation","PMID:30205206 | PMCID:PMC6230479","pubmed","30205206","create date:2018/09/12 | first author:Cetin Karayumak S",
"Complexities of connectivity-based DBS targeting: Rebirth of the debate on thalamic and subthalamic treatment of tremor.","/pubmed/30987840","Middlebrooks EH, Grewal SS, Holanda VM.","Neuroimage Clin. 2019;22:101761. doi: 10.1016/j.nicl.2019.101761. Epub 2019 Mar 20. No abstract available. ","Neuroimage Clin.  2019","PubMed","citation","PMID:30987840 | PMCID:PMC6543122","pubmed","30987840","create date:2019/04/17 | first author:Middlebrooks EH",
"An autopsied case of MM1-type sporadic Creutzfeldt-Jakob disease with pathology of Wernicke encephalopathy.","/pubmed/30409087","Iwasaki Y, Hashimoto R, Saito Y, Aiba I, Inukai A, Akagi A, Mimuro M, Miyahara H, Kitamoto T, Yoshida M.","Prion. 2019 Jan;13(1):13-20. doi: 10.1080/19336896.2018.1545525. Epub 2018 Nov 14.","Prion.  2019","PubMed","citation","PMID:30409087 | PMCID:PMC6422394","pubmed","30409087","create date:2018/11/10 | first author:Iwasaki Y",
"MRI Indices of Cortical Development in Young People With Psychotic Experiences: Influence of Genetic Risk and Persistence of Symptoms.","/pubmed/29385604","Fonville L, Drakesmith M, Zammit S, Lewis G, Jones DK, David AS.","Schizophr Bull. 2019 Jan 1;45(1):169-179. doi: 10.1093/schbul/sbx195.","Schizophr Bull.  2019","PubMed","citation","PMID:29385604 | PMCID:PMC6293214","pubmed","29385604","create date:2018/02/01 | first author:Fonville L",
"A longitudinal human phantom reliability study of multi-center T1-weighted, DTI, and resting state fMRI data.","/pubmed/29945740","Hawco C, Viviano JD, Chavez S, Dickie EW, Calarco N, Kochunov P, Argyelan M, Turner JA, Malhotra AK, Buchanan RW, Voineskos AN; SPINS Group..","Psychiatry Res Neuroimaging. 2018 Dec 30;282:134-142. doi: 10.1016/j.pscychresns.2018.06.004. Epub 2018 Jun 9.","Psychiatry Res Neuroimaging.  2018","PubMed","citation","PMID:29945740 | PMCID:PMC6482446","pubmed","29945740","create date:2018/06/28 | first author:Hawco C",
"Monitoring Value of Multimodal Magnetic Resonance Imaging in Disease Progression of Amyotrophic Lateral Sclerosis: A Prospective Observational Study.","/pubmed/30539901","Shen DC, Xu YY, Hou B, Tai HF, Zhang K, Liu SW, Wang ZL, Feng F, Liu MS, Cui LY.","Chin Med J (Engl). 2018 Dec 20;131(24):2904-2909. doi: 10.4103/0366-6999.247214.","Chin Med J (Engl).  2018","PubMed","citation","PMID:30539901 | PMCID:PMC6302648","pubmed","30539901","create date:2018/12/13 | first author:Shen DC",
"A Randomized Clinical Trial of a Functional Electrical Stimulation Mimic to Gait Promotes Motor Recovery and Brain Remodeling in Acute Stroke.","/pubmed/30662575","Zheng X, Chen D, Yan T, Jin D, Zhuang Z, Tan Z, Wu W.","Behav Neurol. 2018 Dec 18;2018:8923520. doi: 10.1155/2018/8923520. eCollection 2018.","Behav Neurol.  2018","PubMed","citation","PMID:30662575 | PMCID:PMC6312612","pubmed","30662575","create date:2019/01/22 | first author:Zheng X",
"Structural and effective brain connectivity underlying biological motion detection.","/pubmed/30514816","Sokolov AA, Zeidman P, Erb M, Ryvlin P, Friston KJ, Pavlova MA.","Proc Natl Acad Sci U S A. 2018 Dec 18;115(51):E12034-E12042. doi: 10.1073/pnas.1812859115. Epub 2018 Dec 4.","Proc Natl Acad Sci U S A.  2018","PubMed","citation","PMID:30514816 | PMCID:PMC6305007","pubmed","30514816","create date:2018/12/06 | first author:Sokolov AA",
"Sex difference in association of symptoms and white matter deficits in first-episode and drug-naive schizophrenia.","/pubmed/30563964","Lang XE, Zhu D, Zhang G, Du X, Jia Q, Yin G, Chen D, Xiu M, Cao B, Wang L, Li X, Soares JC, Zhang XY.","Transl Psychiatry. 2018 Dec 18;8(1):281. doi: 10.1038/s41398-018-0346-9.","Transl Psychiatry.  2018","PubMed","citation","PMID:30563964 | PMCID:PMC6298972","pubmed","30563964","create date:2018/12/20 | first author:Lang XE",
"The structural and functional brain networks that support human social networks.","/pubmed/29471028","Noonan MP, Mars RB, Sallet J, Dunbar RIM, Fellows LK.","Behav Brain Res. 2018 Dec 14;355:12-23. doi: 10.1016/j.bbr.2018.02.019. Epub 2018 Feb 20.","Behav Brain Res.  2018","PubMed","citation","PMID:29471028 | PMCID:PMC6152579","pubmed","29471028","create date:2018/02/23 | first author:Noonan MP",
"Lateral frontal pole and relational processing: Activation patterns and connectivity profile.","/pubmed/28811179","Hartogsveld B, Bramson B, Vijayakumar S, van Campen AD, Marques JP, Roelofs K, Toni I, Bekkering H, Mars RB.","Behav Brain Res. 2018 Dec 14;355:2-11. doi: 10.1016/j.bbr.2017.08.003. Epub 2017 Aug 12.","Behav Brain Res.  2018","PubMed","citation","PMID:28811179","pubmed","28811179","create date:2017/08/16 | first author:Hartogsveld B",
"Multi-systemic melioidosis: a clinical, neurological, and radiological case study from Hainan Province, China.","/pubmed/30541464","Huang WY, Wu G, Chen F, Li MM, Li JJ.","BMC Infect Dis. 2018 Dec 12;18(1):649. doi: 10.1186/s12879-018-3569-8.","BMC Infect Dis.  2018","PubMed","citation","PMID:30541464 | PMCID:PMC6291948","pubmed","30541464","create date:2018/12/14 | first author:Huang WY",
"Diffusion Kurtosis Imaging Reflects Glial Fibrillary Acidic Protein (GFAP), Topo IIα, and O⁶-Methylguanine-DNA Methyltransferase (MGMT) Expression in Astrocytomas.","/pubmed/30520434","Wang XC, Lei Y, Wang L, Tan Y, Qin JB, Ma GL, Zhang H.","Med Sci Monit. 2018 Dec 6;24:8822-8830. doi: 10.12659/MSM.911631.","Med Sci Monit.  2018","PubMed","citation","PMID:30520434 | PMCID:PMC6292149","pubmed","30520434","create date:2018/12/07 | first author:Wang XC",
"Changes in brain white matter structure are associated with urine proteins in urologic chronic pelvic pain syndrome (UCPPS): A MAPP Network study.","/pubmed/30517112","Woodworth DC, Dagher A, Curatolo A, Sachdev M, Ashe-McNalley C, Naliboff BD, Labus JS, Landis JR, Kutch JJ, Mayer EA, Lee RS, Moses MA, Ellingson BM; MAPP Research Network..","PLoS One. 2018 Dec 5;13(12):e0206807. doi: 10.1371/journal.pone.0206807. eCollection 2018.","PLoS One.  2018","PubMed","citation","PMID:30517112 | PMCID:PMC6281196","pubmed","30517112","create date:2018/12/06 | first author:Woodworth DC",
