Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
"Rare histotype of sporadic Creutzfeldt-Jakob disease, clinically suspected as corticobasal degeneration.",/pubmed/30850568,"Tilley BS, Smith C, Pavese N, Attems J.",BMJ Case Rep. 2019 Mar 7;12(3). pii: e228305. doi: 10.1136/bcr-2018-228305.,BMJ Case Rep.  2019,PubMed,citation,PMID:30850568 | PMCID:PMC6424260,pubmed,30850568,create date:2019/03/10 | first author:Tilley BS,
"Controlling seizure propagation in large-scale brain networks.",/pubmed/30802239,"Olmi S, Petkoski S, Guye M, Bartolomei F, Jirsa V.",PLoS Comput Biol. 2019 Feb 25;15(2):e1006805. doi: 10.1371/journal.pcbi.1006805. eCollection 2019 Feb.,PLoS Comput Biol.  2019,PubMed,citation,PMID:30802239 | PMCID:PMC6405161,pubmed,30802239,create date:2019/02/26 | first author:Olmi S,
"Intravascular large B-cell lymphoma presenting with hearing loss and dizziness: A case report.",/pubmed/30762766,"Miyake Z, Tomidokoro Y, Tsurubuchi T, Matsumura A, Sakamoto N, Noguchi M, Tamaoka A.",Medicine (Baltimore). 2019 Feb;98(7):e14470. doi: 10.1097/MD.0000000000014470.,Medicine (Baltimore).  2019,PubMed,citation,PMID:30762766 | PMCID:PMC6407998,pubmed,30762766,create date:2019/02/15 | first author:Miyake Z,
"Headache due to spinothalamic tract injury in patients with mild traumatic brain injury: Two case reports.",/pubmed/30732149,"Jang SH, Seo YS.",Medicine (Baltimore). 2019 Feb;98(6):e14306. doi: 10.1097/MD.0000000000014306.,Medicine (Baltimore).  2019,PubMed,citation,PMID:30732149 | PMCID:PMC6380840,pubmed,30732149,create date:2019/02/09 | first author:Jang SH,
"Local-to-distant development of the cerebrocerebellar sensorimotor network in the typically developing human brain: a functional and diffusion MRI study.",/pubmed/30729998,"Amemiya K, Morita T, Saito DN, Ban M, Shimada K, Okamoto Y, Kosaka H, Okazawa H, Asada M, Naito E.",Brain Struct Funct. 2019 Apr;224(3):1359-1375. doi: 10.1007/s00429-018-01821-5. Epub 2019 Feb 7.,Brain Struct Funct.  2019,PubMed,citation,PMID:30729998 | PMCID:PMC6499876,pubmed,30729998,create date:2019/02/08 | first author:Amemiya K,
"Radiological diagnosis of brain radiation necrosis after cranial irradiation for brain tumor: a systematic review.",/pubmed/30728041,"Furuse M, Nonoguchi N, Yamada K, Shiga T, Combes JD, Ikeda N, Kawabata S, Kuroiwa T, Miyatake SI.",Radiat Oncol. 2019 Feb 6;14(1):28. doi: 10.1186/s13014-019-1228-x.,Radiat Oncol.  2019,PubMed,citation,PMID:30728041 | PMCID:PMC6364413,pubmed,30728041,create date:2019/02/08 | first author:Furuse M,
"Motor skill learning induces brain network plasticity: A diffusion-tensor imaging study.",/pubmed/30726222,"Pi YL, Wu XH, Wang FJ, Liu K, Wu Y, Zhu H, Zhang J.",PLoS One. 2019 Feb 6;14(2):e0210015. doi: 10.1371/journal.pone.0210015. eCollection 2019.,PLoS One.  2019,PubMed,citation,PMID:30726222 | PMCID:PMC6364877,pubmed,30726222,create date:2019/02/07 | first author:Pi YL,
"The Relationship between Diffusion-Weighted Magnetic Resonance Imaging Lesions and 24-Hour Rhythm Holter Findings in Patients with Cryptogenic Stroke.",/pubmed/30720741,"Gürdoğan M, Kehaya S, Korkmaz S, Altay S, Özkan U, Kaya Ç.",Medicina (Kaunas). 2019 Feb 4;55(2). pii: E38. doi: 10.3390/medicina55020038.,Medicina (Kaunas).  2019,PubMed,citation,PMID:30720741 | PMCID:PMC6409892,pubmed,30720741,create date:2019/02/06 | first author:Gürdoğan M,
"Brain connectivity alterations in early psychosis: from clinical to neuroimaging staging.",/pubmed/30718455,"Griffa A, Baumann PS, Klauser P, Mullier E, Cleusix M, Jenni R, van den Heuvel MP, Do KQ, Conus P, Hagmann P.",Transl Psychiatry. 2019 Feb 4;9(1):62. doi: 10.1038/s41398-019-0392-y.,Transl Psychiatry.  2019,PubMed,citation,PMID:30718455 | PMCID:PMC6362225,pubmed,30718455,create date:2019/02/06 | first author:Griffa A,
"Ramsay Hunt syndrome with pontine lesion: A case report.",/pubmed/30702583,"Ji Y, Ma GM, Kang ZL, Zhang Y, Han JZ, Li J, Wu DD, Wang J.",Medicine (Baltimore). 2019 Feb;98(5):e14260. doi: 10.1097/MD.0000000000014260.,Medicine (Baltimore).  2019,PubMed,citation,PMID:30702583 | PMCID:PMC6380842,pubmed,30702583,create date:2019/02/01 | first author:Ji Y,
"Preserved white matter microstructure in adolescent patients with atypical anorexia nervosa.",/pubmed/30676658,"Olivo G, Swenne I, Zhukovsky C, Tuunainen AK, Saaid A, Salonen-Ros H, Larsson EM, Brooks SJ, Schiöth HB.",Int J Eat Disord. 2019 Feb;52(2):166-174. doi: 10.1002/eat.23012. Epub 2019 Jan 24.,Int J Eat Disord.  2019,PubMed,citation,PMID:30676658 | PMCID:PMC6590352,pubmed,30676658,create date:2019/01/25 | first author:Olivo G,
"A Randomized Clinical Trial of a Functional Electrical Stimulation Mimic to Gait Promotes Motor Recovery and Brain Remodeling in Acute Stroke.",/pubmed/30662575,"Zheng X, Chen D, Yan T, Jin D, Zhuang Z, Tan Z, Wu W.",Behav Neurol. 2018 Dec 18;2018:8923520. doi: 10.1155/2018/8923520. eCollection 2018.,Behav Neurol.  2018,PubMed,citation,PMID:30662575 | PMCID:PMC6312612,pubmed,30662575,create date:2019/01/22 | first author:Zheng X,
"A diffusion tensor imaging study of brain microstructural changes related to religion and spirituality in families at high risk for depression.",/pubmed/30648349,"Li X, Weissman M, Talati A, Svob C, Wickramaratne P, Posner J, Xu D.",Brain Behav. 2019 Feb;9(2):e01209. doi: 10.1002/brb3.1209. Epub 2019 Jan 15.,Brain Behav.  2019,PubMed,citation,PMID:30648349 | PMCID:PMC6379589,pubmed,30648349,create date:2019/01/17 | first author:Li X,
"Association of Retinal Nerve Fiber Layer Thickness With Brain Alterations in the Visual and Limbic Networks in Elderly Adults Without Dementia.",/pubmed/30646353,"Méndez-Gómez JL, Pelletier A, Rougier MB, Korobelnik JF, Schweitzer C, Delyfer MN, Catheline G, Monfermé S, Dartigues JF, Delcourt C, Helmer C.",JAMA Netw Open. 2018 Nov 2;1(7):e184406. doi: 10.1001/jamanetworkopen.2018.4406.,JAMA Netw Open.  2018,PubMed,citation,PMID:30646353 | PMCID:PMC6324371,pubmed,30646353,create date:2019/01/16 | first author:Méndez-Gómez JL,
"Decreased Mean Kurtosis in the Putamen is a Diagnostic Feature of Minimal Hepatic Encephalopathy in Patients with Cirrhosis.",/pubmed/30626839,"Sato T, Endo K, Kakisaka K, Suzuki Y, Kooka Y, Sawara K, Ito K, Sasaki M, Takikawa Y.",Intern Med. 2019 May 1;58(9):1217-1224. doi: 10.2169/internalmedicine.2116-18. Epub 2019 Jan 10.,Intern Med.  2019,PubMed,citation,PMID:30626839 | PMCID:PMC6543222,pubmed,30626839,create date:2019/01/11 | first author:Sato T,
"Measures of possible allostatic load in comorbid cocaine and alcohol use disorder: Brain white matter integrity, telomere length, and anti-saccade performance.",/pubmed/30625144,"Tannous J, Mwangi B, Hasan KM, Narayana PA, Steinberg JL, Walss-Bass C, Moeller FG, Schmitz JM, Lane SD.",PLoS One. 2019 Jan 9;14(1):e0199729. doi: 10.1371/journal.pone.0199729. eCollection 2019.,PLoS One.  2019,PubMed,citation,PMID:30625144 | PMCID:PMC6326479,pubmed,30625144,create date:2019/01/10 | first author:Tannous J,
"Diffusion tensor imaging and disability progression in multiple sclerosis: A 4-year follow-up study.",/pubmed/30588771,"Kolasa M, Hakulinen U, Brander A, Hagman S, Dastidar P, Elovaara I, Sumelahti ML.",Brain Behav. 2019 Jan;9(1):e01194. doi: 10.1002/brb3.1194. Epub 2018 Dec 26.,Brain Behav.  2019,PubMed,citation,PMID:30588771 | PMCID:PMC6346728,pubmed,30588771,create date:2018/12/28 | first author:Kolasa M,
"Sex difference in association of symptoms and white matter deficits in first-episode and drug-naive schizophrenia.",/pubmed/30563964,"Lang XE, Zhu D, Zhang G, Du X, Jia Q, Yin G, Chen D, Xiu M, Cao B, Wang L, Li X, Soares JC, Zhang XY.",Transl Psychiatry. 2018 Dec 18;8(1):281. doi: 10.1038/s41398-018-0346-9.,Transl Psychiatry.  2018,PubMed,citation,PMID:30563964 | PMCID:PMC6298972,pubmed,30563964,create date:2018/12/20 | first author:Lang XE,
"Multi-systemic melioidosis: a clinical, neurological, and radiological case study from Hainan Province, China.",/pubmed/30541464,"Huang WY, Wu G, Chen F, Li MM, Li JJ.",BMC Infect Dis. 2018 Dec 12;18(1):649. doi: 10.1186/s12879-018-3569-8.,BMC Infect Dis.  2018,PubMed,citation,PMID:30541464 | PMCID:PMC6291948,pubmed,30541464,create date:2018/12/14 | first author:Huang WY,
"Monitoring Value of Multimodal Magnetic Resonance Imaging in Disease Progression of Amyotrophic Lateral Sclerosis: A Prospective Observational Study.",/pubmed/30539901,"Shen DC, Xu YY, Hou B, Tai HF, Zhang K, Liu SW, Wang ZL, Feng F, Liu MS, Cui LY.",Chin Med J (Engl). 2018 Dec 20;131(24):2904-2909. doi: 10.4103/0366-6999.247214.,Chin Med J (Engl).  2018,PubMed,citation,PMID:30539901 | PMCID:PMC6302648,pubmed,30539901,create date:2018/12/13 | first author:Shen DC,
"Diffusion Kurtosis Imaging Reflects Glial Fibrillary Acidic Protein (GFAP), Topo IIα, and O⁶-Methylguanine-DNA Methyltransferase (MGMT) Expression in Astrocytomas.",/pubmed/30520434,"Wang XC, Lei Y, Wang L, Tan Y, Qin JB, Ma GL, Zhang H.",Med Sci Monit. 2018 Dec 6;24:8822-8830. doi: 10.12659/MSM.911631.,Med Sci Monit.  2018,PubMed,citation,PMID:30520434 | PMCID:PMC6292149,pubmed,30520434,create date:2018/12/07 | first author:Wang XC,
"Longitudinal multimodal MRI as prognostic and diagnostic biomarker in presymptomatic familial frontotemporal dementia.",/pubmed/30508042,"Jiskoot LC, Panman JL, Meeter LH, Dopper EGP, Donker Kaat L, Franzen S, van der Ende EL, van Minkelen R, Rombouts SARB, Papma JM, van Swieten JC.",Brain. 2019 Jan 1;142(1):193-208. doi: 10.1093/brain/awy288.,Brain.  2019,PubMed,citation,PMID:30508042 | PMCID:PMC6308313,pubmed,30508042,create date:2018/12/07 | first author:Jiskoot LC,
"Differentiating Alzheimer's Disease from Dementia with Lewy Bodies Using a Deep Learning Technique Based on Structural Brain Connectivity.",/pubmed/30504639,"Wada A, Tsuruta K, Irie R, Kamagata K, Maekawa T, Fujita S, Koshino S, Kumamaru K, Suzuki M, Nakanishi A, Hori M, Aoki S.",Magn Reson Med Sci. 2019 Jul 16;18(3):219-224. doi: 10.2463/mrms.mp.2018-0091. Epub 2018 Dec 3.,Magn Reson Med Sci.  2019,PubMed,citation,PMID:30504639 | PMCID:PMC6630050,pubmed,30504639,create date:2018/12/07 | first author:Wada A,
"Heterozygosity for Nuclear Factor One X in mice models features of Malan syndrome.",/pubmed/30503862,"Oishi S, Harkins D, Kurniawan ND, Kasherman M, Harris L, Zalucki O, Gronostajski RM, Burne THJ, Piper M.",EBioMedicine. 2019 Jan;39:388-400. doi: 10.1016/j.ebiom.2018.11.044. Epub 2018 Nov 29.,EBioMedicine.  2019,PubMed,citation,PMID:30503862 | PMCID:PMC6354567,pubmed,30503862,create date:2018/12/07 | first author:Oishi S,
"Changes in brain white matter structure are associated with urine proteins in urologic chronic pelvic pain syndrome (UCPPS): A MAPP Network study.",/pubmed/30517112,"Woodworth DC, Dagher A, Curatolo A, Sachdev M, Ashe-McNalley C, Naliboff BD, Labus JS, Landis JR, Kutch JJ, Mayer EA, Lee RS, Moses MA, Ellingson BM; MAPP Research Network..",PLoS One. 2018 Dec 5;13(12):e0206807. doi: 10.1371/journal.pone.0206807. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:30517112 | PMCID:PMC6281196,pubmed,30517112,create date:2018/12/06 | first author:Woodworth DC,
"Multimodal PET/MRI Imaging Results Enable Monitoring the Side Effects of Radiation Therapy.",/pubmed/30515069,"Kovács N, Szigeti K, Hegedűs N, Horváth I, Veres DS, Bachmann M, Bergmann R, Máthé D.",Contrast Media Mol Imaging. 2018 Nov 1;2018:5906471. doi: 10.1155/2018/5906471. eCollection 2018.,Contrast Media Mol Imaging.  2018,PubMed,citation,PMID:30515069 | PMCID:PMC6236670,pubmed,30515069,create date:2018/12/06 | first author:Kovács N,
"Investigation of chemotherapy-induced brain structural alterations in breast cancer patients with generalized q-sampling MRI and graph theoretical analysis.",/pubmed/30514266,"Li TY, Chen VC, Yeh DC, Huang SL, Chen CN, Chai JW, Chen CC, Weng JC.",BMC Cancer. 2018 Dec 4;18(1):1211. doi: 10.1186/s12885-018-5113-z.,BMC Cancer.  2018,PubMed,citation,PMID:30514266 | PMCID:PMC6280365,pubmed,30514266,create date:2018/12/06 | first author:Li TY,
"Extensive traumatic axonal injury of brain due to violence: A case report.",/pubmed/30508923,"Jang SH, Kim SH, Kwon YH.",Medicine (Baltimore). 2018 Nov;97(48):e13315. doi: 10.1097/MD.0000000000013315.,Medicine (Baltimore).  2018,PubMed,citation,PMID:30508923 | PMCID:PMC6283135,pubmed,30508923,create date:2018/12/05 | first author:Jang SH,
"Detectability of radiation-induced changes in magnetic resonance biomarkers following stereotactic radiosurgery: A pilot study.",/pubmed/30475887,"Winter JD, Moraes FY, Chung C, Coolens C.",PLoS One. 2018 Nov 26;13(11):e0207933. doi: 10.1371/journal.pone.0207933. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:30475887 | PMCID:PMC6258119,pubmed,30475887,create date:2018/11/27 | first author:Winter JD,
"Structural network topology relates to tissue properties in multiple sclerosis.",/pubmed/30467603,"Kiljan S, Meijer KA, Steenwijk MD, Pouwels PJW, Schoonheim MM, Schenk GJ, Geurts JJG, Douw L.",J Neurol. 2019 Jan;266(1):212-222. doi: 10.1007/s00415-018-9130-2. Epub 2018 Nov 22.,J Neurol.  2019,PubMed,citation,PMID:30467603 | PMCID:PMC6342882,pubmed,30467603,create date:2018/11/24 | first author:Kiljan S,
"Isolated Fornix Infarction with Damage to the Limbic System as a Cause of Persistent Amnesia: A Case Report.",/pubmed/30459298,"Takano Y, Tatewaki Y, Mutoh T, Ohara Y, Yamamoto S, Taki Y.",Am J Case Rep. 2018 Nov 21;19:1382-1385. doi: 10.12659/AJCR.912508.,Am J Case Rep.  2018,PubMed,citation,PMID:30459298 | PMCID:PMC6266538,pubmed,30459298,create date:2018/11/22 | first author:Takano Y,
"Investigation of Brain Impairment Using Diffusion-Weighted and Diffusion Tensor Magnetic Resonance Imaging in Experienced Healthy Divers.",/pubmed/30447152,"Seyithanoğlu MH, Abdallah A, Dündar TT, Kitiş S, Aralaşmak A, Gündağ Papaker M, Sasani H.",Med Sci Monit. 2018 Nov 17;24:8279-8289. doi: 10.12659/MSM.911475.,Med Sci Monit.  2018,PubMed,citation,PMID:30447152 | PMCID:PMC6252049,pubmed,30447152,create date:2018/11/18 | first author:Seyithanoğlu MH,
"Performance and Function Meet Structure: A White Matter Connection Tuned for Vocal Production.",/pubmed/30430846,"Sidtis JJ, Mubeen MA, Asaei A, Ardekani B, Van Lancker Sidtis D.",Brain Connect. 2018 Dec;8(10):628-636. doi: 10.1089/brain.2018.0627.,Brain Connect.  2018,PubMed,citation,PMID:30430846 | PMCID:PMC6308290,pubmed,30430846,create date:2018/11/16 | first author:Sidtis JJ,
"Apathy Is Correlated with Widespread Diffusion Tensor Imaging (DTI) Impairment in Amyotrophic Lateral Sclerosis.",/pubmed/30425751,"Femiano C, Trojsi F, Caiazzo G, Siciliano M, Passaniti C, Russo A, Bisecco A, Cirillo M, Monsurrò MR, Esposito F, Tedeschi G, Santangelo G.",Behav Neurol. 2018 Oct 22;2018:2635202. doi: 10.1155/2018/2635202. eCollection 2018.,Behav Neurol.  2018,PubMed,citation,PMID:30425751 | PMCID:PMC6217902,pubmed,30425751,create date:2018/11/15 | first author:Femiano C,
"Optimising neonatal fMRI data analysis: Design and validation of an extended dHCP preprocessing pipeline to characterise noxious-evoked brain activity in infants.",/pubmed/30414984,"Baxter L, Fitzgibbon S, Moultrie F, Goksan S, Jenkinson M, Smith S, Andersson J, Duff E, Slater R.",Neuroimage. 2019 Feb 1;186:286-300. doi: 10.1016/j.neuroimage.2018.11.006. Epub 2018 Nov 8.,Neuroimage.  2019,PubMed,citation,PMID:30414984 | PMCID:PMC6347570,pubmed,30414984,create date:2018/11/12 | first author:Baxter L,
"An autopsied case of MM1-type sporadic Creutzfeldt-Jakob disease with pathology of Wernicke encephalopathy.",/pubmed/30409087,"Iwasaki Y, Hashimoto R, Saito Y, Aiba I, Inukai A, Akagi A, Mimuro M, Miyahara H, Kitamoto T, Yoshida M.",Prion. 2019 Jan;13(1):13-20. doi: 10.1080/19336896.2018.1545525. Epub 2018 Nov 14.,Prion.  2019,PubMed,citation,PMID:30409087 | PMCID:PMC6422394,pubmed,30409087,create date:2018/11/10 | first author:Iwasaki Y,
"Brain structural connectivity and neuroticism in healthy adults.",/pubmed/30405187,"Ueda I, Kakeda S, Watanabe K, Sugimoto K, Igata N, Moriya J, Takemoto K, Katsuki A, Yoshimura R, Abe O, Korogi Y.",Sci Rep. 2018 Nov 7;8(1):16491. doi: 10.1038/s41598-018-34846-1.,Sci Rep.  2018,PubMed,citation,PMID:30405187 | PMCID:PMC6220248,pubmed,30405187,create date:2018/11/09 | first author:Ueda I,
"Monocyte depletion attenuates the development of posttraumatic hydrocephalus and preserves white matter integrity after traumatic brain injury.",/pubmed/30383765,"Makinde HM, Just TB, Cuda CM, Bertolino N, Procissi D, Schwulst SJ.",PLoS One. 2018 Nov 1;13(11):e0202722. doi: 10.1371/journal.pone.0202722. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:30383765 | PMCID:PMC6211627,pubmed,30383765,create date:2018/11/02 | first author:Makinde HM,
"Identification of the pedunculopontine nucleus and surrounding white matter tracts on 7T diffusion tensor imaging, combined with histological validation.",/pubmed/30382329,"Henssen DJHA, Kuppens D, Meijer FJA, van Cappellen van Walsum AM, Temel Y, Kurt E.",Surg Radiol Anat. 2019 Feb;41(2):187-196. doi: 10.1007/s00276-018-2120-3. Epub 2018 Oct 31.,Surg Radiol Anat.  2019,PubMed,citation,PMID:30382329 | PMCID:PMC6514272,pubmed,30382329,create date:2018/11/02 | first author:Henssen DJHA,
"White matter microstructural damage in early treated phenylketonuric patients.",/pubmed/30367646,"González MJ, Polo MR, Ripollés P, Gassió R, Ormazabal A, Sierra C, Roura RC, Artuch R, Campistol J.",Orphanet J Rare Dis. 2018 Oct 26;13(1):188. doi: 10.1186/s13023-018-0912-5.,Orphanet J Rare Dis.  2018,PubMed,citation,PMID:30367646 | PMCID:PMC6203973,pubmed,30367646,create date:2018/10/28 | first author:González MJ,
"Allostatic load and disordered white matter microstructure in overweight adults.",/pubmed/30367110,"Ottino-González J, Jurado MA, García-García I, Segura B, Marqués-Iturria I, Sender-Palacios MJ, Tor E, Prats-Soteras X, Caldú X, Junqué C, Pasternak O, Garolera M.",Sci Rep. 2018 Oct 26;8(1):15898. doi: 10.1038/s41598-018-34219-8.,Sci Rep.  2018,PubMed,citation,PMID:30367110 | PMCID:PMC6203765,pubmed,30367110,create date:2018/10/28 | first author:Ottino-González J,
"The Role of Single Voxel MR Spectroscopy, T2 Relaxation Time and Apparent Diffusion Coefficient in Determining the Cellularity of Brain Tumors by MATLAB Software",/pubmed/30362318,"Abdolmohammadi J, Faeghi F, Arefan D, Zali A, Haghighatkhah H, Amiri J.",Asian Pac J Cancer Prev. 2018 Oct 26;19(10):2891-2895.,Asian Pac J Cancer Prev.  2018,PubMed,citation,PMID:30362318 | PMCID:PMC6291043,pubmed,30362318,create date:2018/10/27 | first author:Abdolmohammadi J,
"Dysfunctional effort-based decision-making underlies apathy in genetic cerebral small vessel disease.",/pubmed/30346491,"Le Heron C, Manohar S, Plant O, Muhammed K, Griffanti L, Nemeth A, Douaud G, Markus HS, Husain M.",Brain. 2018 Nov 1;141(11):3193-3210. doi: 10.1093/brain/awy257.,Brain.  2018,PubMed,citation,PMID:30346491 | PMCID:PMC6202575,pubmed,30346491,create date:2018/10/23 | first author:Le Heron C,
"Widespread diffusion changes differentiate Parkinson's disease and progressive supranuclear palsy.",/pubmed/30342392,"Talai AS, Sedlacik J, Boelmans K, Forkert ND.",Neuroimage Clin. 2018;20:1037-1043. doi: 10.1016/j.nicl.2018.09.028. Epub 2018 Oct 4.,Neuroimage Clin.  2018,PubMed,citation,PMID:30342392 | PMCID:PMC6197764,pubmed,30342392,create date:2018/10/21 | first author:Talai AS,
"Data-driven brain network models differentiate variability across language tasks.",/pubmed/30332401,"Bansal K, Medaglia JD, Bassett DS, Vettel JM, Muldoon SF.",PLoS Comput Biol. 2018 Oct 17;14(10):e1006487. doi: 10.1371/journal.pcbi.1006487. eCollection 2018 Oct.,PLoS Comput Biol.  2018,PubMed,citation,PMID:30332401 | PMCID:PMC6192563,pubmed,30332401,create date:2018/10/18 | first author:Bansal K,
"Dynamic Information Flow Based on EEG and Diffusion MRI in Stroke: A Proof-of-Principle Study.",/pubmed/30327592,"Filatova OG, Yang Y, Dewald JPA, Tian R, Maceira-Elvira P, Takeda Y, Kwakkel G, Yamashita O, van der Helm FCT.",Front Neural Circuits. 2018 Oct 1;12:79. doi: 10.3389/fncir.2018.00079. eCollection 2018.,Front Neural Circuits.  2018,PubMed,citation,PMID:30327592 | PMCID:PMC6174251,pubmed,30327592,create date:2018/10/18 | first author:Filatova OG,
"Ischemic stroke as a complication of cryptococcal meningitis and immune reconstitution inflammatory syndrome: a case report.",/pubmed/30326861,"Ellis JP, Kalata N, Joekes EC, Kampondeni S, Benjamin LA, Harrison TS, Lalloo DG, Heyderman RS.",BMC Infect Dis. 2018 Oct 16;18(1):520. doi: 10.1186/s12879-018-3386-0.,BMC Infect Dis.  2018,PubMed,citation,PMID:30326861 | PMCID:PMC6192067,pubmed,30326861,create date:2018/10/18 | first author:Ellis JP,
"Pain-related white matter tract abnormalities in mild traumatic brain injury patients with persistent headache.",/pubmed/30324850,"Leung A, Yang E, Lim M, Metzger-Smith V, Theilmann R, Song D, Lin L, Tsai A, Lee R.",Mol Pain. 2018 Jan-Dec;14:1744806918810297. doi: 10.1177/1744806918810297. Epub 2018 Oct 16.,Mol Pain.  2018,PubMed,citation,PMID:30324850 | PMCID:PMC6311536,pubmed,30324850,create date:2018/10/17 | first author:Leung A,
"Cross-sectional white matter microstructure differences in age and trait mindfulness.",/pubmed/30321218,"Boekel W, Hsieh S.",PLoS One. 2018 Oct 15;13(10):e0205718. doi: 10.1371/journal.pone.0205718. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:30321218 | PMCID:PMC6188777,pubmed,30321218,create date:2018/10/16 | first author:Boekel W,
